symbol,direction,entry_time,exit_time,entry,sl,risk_per_unit,r_multiple,pnl_pct,outcome
BTC/USD,SHORT,2025-04-17 05:00:00+00:00,2025-04-17 15:00:00+00:00,84472.31,85634.16,1161.8541,-0.1784,-0.001784,loss
ETH/USD,SHORT,2025-04-17 11:00:00+00:00,2025-04-17 21:00:00+00:00,1597.56,1617.72,20.1554,0.3571,0.003571,win
ETH/USD,SHORT,2025-04-18 01:00:00+00:00,2025-04-18 11:00:00+00:00,1587.68,1617.55,29.8669,-0.2039,-0.002039,loss
BTC/USD,LONG,2025-04-24 18:00:00+00:00,2025-04-25 04:00:00+00:00,93011.93,91521.11,1490.8218,-0.0836,-0.000836,loss
ETH/USD,SHORT,2025-04-28 22:00:00+00:00,2025-04-29 08:00:00+00:00,1799.00,1832.41,33.4132,-1.1046,-0.011046,loss
ETH/USD,SHORT,2025-05-01 00:00:00+00:00,2025-05-01 09:00:00+00:00,1776.33,1820.85,44.5175,-1.0879,-0.010879,loss
BTC/USD,LONG,2025-05-03 20:00:00+00:00,2025-05-03 23:00:00+00:00,96292.63,95781.47,511.1628,-1.2661,-0.012661,loss
BTC/USD,LONG,2025-05-11 07:00:00+00:00,2025-05-11 22:00:00+00:00,103544.02,102875.30,668.7187,1.1083,0.011083,win
ETH/USD,LONG,2025-05-12 01:00:00+00:00,2025-05-12 11:00:00+00:00,2502.00,2426.00,76.0049,0.2967,0.002967,win
BTC/USD,LONG,2025-05-12 08:00:00+00:00,2025-05-12 14:00:00+00:00,104152.84,103412.68,740.1612,-1.2089,-0.012089,loss
ETH/USD,LONG,2025-05-15 04:00:00+00:00,2025-05-15 07:00:00+00:00,2598.58,2538.83,59.7491,-1.0922,-0.010922,loss
BTC/USD,LONG,2025-05-15 18:00:00+00:00,2025-05-17 00:00:00+00:00,103026.33,102424.39,601.9422,1.2116,0.012116,win
ETH/USD,LONG,2025-05-23 15:00:00+00:00,2025-05-24 01:00:00+00:00,2571.99,2442.63,129.3565,-0.4308,-0.004308,loss
ETH/USD,LONG,2025-05-24 06:00:00+00:00,2025-05-24 16:00:00+00:00,2538.12,2491.09,47.0309,0.3065,0.003065,win
BTC/USD,LONG,2025-05-24 09:00:00+00:00,2025-05-24 19:00:00+00:00,108300.00,106629.82,1670.1794,0.2774,0.002774,win
BTC/USD,LONG,2025-05-25 14:00:00+00:00,2025-05-25 15:00:00+00:00,107300.00,106668.71,631.2885,-1.2440,-0.012440,loss
BTC/USD,LONG,2025-05-27 14:00:00+00:00,2025-05-28 00:00:00+00:00,108863.63,107351.25,1512.3775,0.0996,0.000996,win
ETH/USD,LONG,2025-05-28 21:00:00+00:00,2025-05-29 04:00:00+00:00,2652.88,2602.11,50.7699,1.6053,0.016053,win
ETH/USD,LONG,2025-05-29 12:00:00+00:00,2025-05-29 22:00:00+00:00,2697.62,2604.69,92.9288,-0.6412,-0.006412,loss
ETH/USD,LONG,2025-06-04 13:00:00+00:00,2025-06-04 23:00:00+00:00,2610.01,2569.83,40.1829,-0.1759,-0.001759,loss
ETH/USD,LONG,2025-06-05 12:00:00+00:00,2025-06-05 14:00:00+00:00,2617.31,2569.95,47.3586,-1.1063,-0.011063,loss
ETH/USD,LONG,2025-06-11 21:00:00+00:00,2025-06-11 22:00:00+00:00,2783.83,2745.29,38.5350,-1.1267,-0.011267,loss
ETH/USD,LONG,2025-06-26 00:00:00+00:00,2025-06-26 10:00:00+00:00,2426.08,2384.22,41.8568,1.5090,0.015090,win
ETH/USD,LONG,2025-06-27 13:00:00+00:00,2025-06-27 23:00:00+00:00,2423.68,2377.06,46.6152,-0.1133,-0.001133,loss
ETH/USD,LONG,2025-06-28 01:00:00+00:00,2025-06-28 11:00:00+00:00,2411.54,2377.91,33.6327,0.3461,0.003461,win
ETH/USD,LONG,2025-06-29 16:00:00+00:00,2025-06-29 21:00:00+00:00,2432.62,2421.97,10.6524,-1.3140,-0.013140,loss
BTC/USD,LONG,2025-06-30 07:00:00+00:00,2025-06-30 14:00:00+00:00,107543.48,107166.26,377.2163,-1.3821,-0.013821,loss
BTC/USD,LONG,2025-07-07 07:00:00+00:00,2025-07-07 17:00:00+00:00,108665.47,107711.92,953.5534,-0.9343,-0.009343,loss
ETH/USD,LONG,2025-07-15 15:00:00+00:00,2025-07-16 01:00:00+00:00,3000.14,2922.94,77.2026,1.7221,0.017221,win
ETH/USD,LONG,2025-07-19 08:00:00+00:00,2025-07-19 18:00:00+00:00,3566.41,3467.26,99.1531,-0.2204,-0.002204,loss
BTC/USD,LONG,2025-07-22 08:00:00+00:00,2025-07-22 18:00:00+00:00,117780.00,116281.94,1498.0564,1.1698,0.011698,win
BTC/USD,LONG,2025-07-24 07:00:00+00:00,2025-07-24 07:00:00+00:00,118421.86,117137.86,1283.9999,-1.1507,-0.011507,loss
BTC/USD,LONG,2025-07-29 10:00:00+00:00,2025-07-29 15:00:00+00:00,118416.66,117311.53,1105.1311,-1.1686,-0.011686,loss
ETH/USD,LONG,2025-07-29 12:00:00+00:00,2025-07-29 16:00:00+00:00,3828.81,3722.27,106.5437,-1.0831,-0.010831,loss
ETH/USD,LONG,2025-08-11 10:00:00+00:00,2025-08-11 20:00:00+00:00,4228.14,4143.61,84.5300,0.0774,0.000774,win
BTC/USD,LONG,2025-08-12 19:00:00+00:00,2025-08-13 05:00:00+00:00,119525.00,117891.76,1633.2360,-0.4060,-0.004060,loss
ETH/USD,LONG,2025-08-12 11:00:00+00:00,2025-08-14 11:00:00+00:00,4258.68,4156.42,102.2558,2.6331,0.026331,win
ETH/USD,LONG,2025-08-15 12:00:00+00:00,2025-08-15 15:00:00+00:00,4595.94,4438.13,157.8081,-1.0749,-0.010749,loss
ETH/USD,LONG,2025-08-23 14:00:00+00:00,2025-08-24 00:00:00+00:00,4728.04,4646.95,81.0879,0.7559,0.007559,win
ETH/USD,LONG,2025-08-24 01:00:00+00:00,2025-08-24 11:00:00+00:00,4767.17,4650.12,117.0522,-0.2550,-0.002550,loss
BTC/USD,SHORT,2025-08-27 02:00:00+00:00,2025-08-27 12:00:00+00:00,111469.07,113094.14,1625.0715,-0.0456,-0.000456,loss
BTC/USD,SHORT,2025-08-31 15:00:00+00:00,2025-09-01 01:00:00+00:00,108816.33,109563.26,746.9293,0.6769,0.006769,win
ETH/USD,LONG,2025-09-04 23:00:00+00:00,2025-09-05 14:00:00+00:00,4302.82,4248.54,54.2776,1.7219,0.017219,win
ETH/USD,LONG,2025-09-05 22:00:00+00:00,2025-09-06 08:00:00+00:00,4306.20,4254.96,51.2401,-0.0507,-0.000507,loss
ETH/USD,LONG,2025-09-09 03:00:00+00:00,2025-09-09 13:00:00+00:00,4307.59,4264.22,43.3710,0.7592,0.007592,win
ETH/USD,LONG,2025-09-10 09:00:00+00:00,2025-09-10 16:00:00+00:00,4323.44,4271.34,52.0959,1.5223,0.015223,win
ETH/USD,LONG,2025-09-11 00:00:00+00:00,2025-09-11 10:00:00+00:00,4357.33,4269.57,87.7573,0.7037,0.007037,win
ETH/USD,LONG,2025-09-14 04:00:00+00:00,2025-09-14 14:00:00+00:00,4656.56,4597.76,58.8014,-1.1350,-0.011350,loss
ETH/USD,LONG,2025-09-19 23:00:00+00:00,2025-09-20 09:00:00+00:00,4468.30,4405.45,62.8463,-0.1633,-0.001633,loss
ETH/USD,LONG,2025-09-20 17:00:00+00:00,2025-09-21 03:00:00+00:00,4487.00,4430.83,56.1665,-0.2915,-0.002915,loss
ETH/USD,SHORT,2025-09-26 22:00:00+00:00,2025-09-27 08:00:00+00:00,4029.89,4217.69,187.8023,0.1686,0.001686,win
ETH/USD,SHORT,2025-09-27 10:00:00+00:00,2025-09-27 20:00:00+00:00,4007.93,4075.50,67.5668,-0.0908,-0.000908,loss
ETH/USD,LONG,2025-10-04 08:00:00+00:00,2025-10-04 18:00:00+00:00,4492.99,4420.40,72.5857,-0.6386,-0.006386,loss
ETH/USD,LONG,2025-10-05 00:00:00+00:00,2025-10-05 09:00:00+00:00,4474.61,4422.03,52.5829,1.5710,0.015710,win
ETH/USD,SHORT,2025-10-13 10:00:00+00:00,2025-10-13 20:00:00+00:00,4146.93,4406.63,259.6986,-0.5955,-0.005955,loss
ETH/USD,SHORT,2025-10-19 08:00:00+00:00,2025-10-19 08:00:00+00:00,3876.63,3935.99,59.3553,-1.1184,-0.011184,loss
BTC/USD,SHORT,2025-10-19 02:00:00+00:00,2025-10-19 09:00:00+00:00,106988.81,107683.72,694.9058,-1.2248,-0.012248,loss
BTC/USD,SHORT,2025-10-25 20:00:00+00:00,2025-10-26 06:00:00+00:00,111479.99,112194.43,714.4411,-0.4455,-0.004455,loss
ETH/USD,SHORT,2025-10-26 04:00:00+00:00,2025-10-26 09:00:00+00:00,3939.02,3974.02,35.0030,-1.1750,-0.011750,loss
ETH/USD,SHORT,2025-10-29 18:00:00+00:00,2025-10-29 19:00:00+00:00,4009.60,4048.16,38.5572,1.5950,0.015950,win
BTC/USD,SHORT,2025-11-01 01:00:00+00:00,2025-11-01 11:00:00+00:00,109417.91,111370.82,1952.9139,-0.4757,-0.004757,loss
ETH/USD,SHORT,2025-11-01 19:00:00+00:00,2025-11-02 05:00:00+00:00,3880.72,4042.06,161.3427,-0.2071,-0.002071,loss
ETH/USD,SHORT,2025-11-02 09:00:00+00:00,2025-11-02 19:00:00+00:00,3875.88,4041.68,165.7974,0.0520,0.000520,win
ETH/USD,SHORT,2025-11-06 10:00:00+00:00,2025-11-07 03:00:00+00:00,3410.78,3490.49,79.7109,1.4764,0.014764,win
ETH/USD,SHORT,2025-11-07 15:00:00+00:00,2025-11-07 17:00:00+00:00,3310.33,3382.14,71.8128,-1.0953,-0.010953,loss
BTC/USD,SHORT,2025-11-07 16:00:00+00:00,2025-11-07 18:00:00+00:00,101512.51,102750.17,1237.6577,-1.1384,-0.011384,loss
ETH/USD,SHORT,2025-11-13 11:00:00+00:00,2025-11-14 14:00:00+00:00,3516.59,3598.73,82.1421,2.3883,0.023883,win
BTC/USD,SHORT,2025-11-15 23:00:00+00:00,2025-11-16 09:00:00+00:00,95672.00,97000.54,1328.5359,-0.8473,-0.008473,loss
